method,name,period,distance
Transit,Kepler-1435 b,4.45343281,681
Transit,Kepler-1434 b,8.05333618,680
Transit,Kepler-1433 b,4.13592271,1328
Transit,Kepler-1432 b,23.9109011,1552
Transit,Kepler-1431 b,5.86601526,1270
Transit,Kepler-1430 b,2.46050993,541
Transit,Kepler-1429 b,4.48487493,1156
Transit,Kepler-1428 b,10.67607169,802
Transit,Kepler-1427 b,0.96897238,1220
Transit,Kepler-1426 b,14.2563227,1211
Transit,Kepler-1425 b,14.4541302,499
Transit,Kepler-1424 b,29.6091744,620
Transit,Kepler-1423 b,23.955378,449
Transit,Kepler-1422 b,18.6051942,2081
Transit,Kepler-1421 b,6.9131112,675
Transit,Kepler-1420 b,6.69960006,923
Transit,Kepler-1419 b,42.5215895,1444
Transit,Kepler-1418 b,22.4764425,499
Transit,Kepler-1417 b,20.3505213,656
Transit,Kepler-1416 b,1.49514952,807
Transit,Kepler-1415 b,0.63642408,1066
Transit,Kepler-1414 b,3.51576315,534
Transit,Kepler-1413 b,13.1829642,1162
Transit,Kepler-1412 b,3.6146051,639
Transit,Kepler-1411 b,86.1150888,1431
Transit,Kepler-1410 b,60.866168,367
Transit,Kepler-1409 b,0.76486493,722
Transit,Kepler-1408 b,2.99793191,426
Transit,Kepler-1407 b,20.0711504,1275
Transit,Kepler-1406 b,11.62905828,587
Transit,Kepler-1405 b,28.2274184,1605
Transit,Kepler-1404 b,15.9314739,946
Transit,Kepler-1403 b,5.19492202,1801
Transit,Kepler-1402 b,2.03387914,681
Transit,Kepler-1401 b,11.20066445,1242
Transit,Kepler-1400 b,9.06689421,879
Transit,Kepler-1399 b,1.63865306,1256
Transit,Kepler-1398 c,4.13827595,793
Transit,Kepler-1398 b,2.78815679,793
Transit,Kepler-1397 b,47.449955,770
Transit,Kepler-1396 b,18.2206421,1236
Transit,Kepler-1395 b,3.78470649,507
Transit,Kepler-1394 b,3.93766373,820
Transit,Kepler-1393 b,2.44357812,462
Transit,Kepler-1392 b,15.1410397,1117
Transit,Kepler-1391 b,54.4092333,721
Transit,Kepler-1390 b,6.48021673,760
Transit,Kepler-1389 b,99.2530951,521
Transit,Kepler-1388 e,37.6327084,492
Transit,Kepler-1388 d,20.9568158,492
Transit,Kepler-1388 c,5.53608151,492
Transit,Kepler-1388 b,12.2854603,492
Transit,Kepler-1387 b,2.27952666,491
Transit,Kepler-1386 b,6.73972381,838
Transit,Kepler-1385 b,2.88879862,527
Transit,Kepler-1384 b,15.36262753,618
Transit,Kepler-1383 b,13.9093583,961
