method,method_index,name,period,distance
Radial Velocity,7,HD 40956 b,579,118
Radial Velocity,7,HD 40979 b,264,33
Radial Velocity,7,HD 41004 A b,963,43
Radial Velocity,7,HD 41004 B b,1,43
Radial Velocity,7,HD 42012 b,858,37
Radial Velocity,7,HD 42618 b,150,24
Radial Velocity,7,HD 43197 b,328,56
Radial Velocity,7,HD 43691 b,37,93
Radial Velocity,7,HD 44219 b,472,50
Radial Velocity,7,HD 45350 b,964,49
Radial Velocity,7,HD 45364 b,227,33
Radial Velocity,7,HD 45364 c,343,33
Radial Velocity,7,HD 45652 b,44,36
Radial Velocity,7,HD 46375 b,3,33
Radial Velocity,7,HD 47186 b,4,38
Radial Velocity,7,HD 47186 c,1,354,38
Radial Velocity,7,HD 47366 b,363,80
Radial Velocity,7,HD 47366 c,685,80
Radial Velocity,7,HD 47536 b,712,121
Radial Velocity,7,HD 48265 b,780,85
Radial Velocity,7,HD 49674 b,5,41
Radial Velocity,7,HD 50499 b,2,483,47
Radial Velocity,7,HD 50554 b,1,293,31
Radial Velocity,7,HD 52265 b,119,28
Radial Velocity,7,HD 59686 A b,299,97
Radial Velocity,7,HD 60532 b,202,25
Radial Velocity,7,HD 60532 c,600,25
Radial Velocity,7,HD 62509 b,590,10
Radial Velocity,7,HD 63454 b,3,36
Radial Velocity,7,HD 63765 b,358,33
Radial Velocity,7,HD 65216 b,613,36
Radial Velocity,7,HD 65216 c,153,36
Radial Velocity,7,HD 66141 b,481,80
Radial Velocity,7,HD 66428 b,1,973,55
Radial Velocity,7,HD 67087 b,352,89
Radial Velocity,7,HD 67087 c,2,374,89
Radial Velocity,7,HD 68402 b,1,103,78
Radial Velocity,7,HD 68988 b,6,59
Radial Velocity,7,HD 69830 b,9,13
Radial Velocity,7,HD 69830 c,32,13
Radial Velocity,7,HD 69830 d,197,13
Radial Velocity,7,HD 70573 b,852,46
Radial Velocity,7,HD 70642 b,2,068,29
Radial Velocity,7,HD 72659 b,3,658,51
Radial Velocity,7,HD 72892 b,39,73
Radial Velocity,7,HD 73256 b,3,37
Radial Velocity,7,HD 73267 b,1,260,55
Radial Velocity,7,HD 73526 b,188,95
Radial Velocity,7,HD 73526 c,379,95
Radial Velocity,7,HD 73534 b,1,770,81
Radial Velocity,7,HD 74156 b,52,65
Radial Velocity,7,HD 74156 c,2,473,65
Radial Velocity,7,HD 75289 b,4,29
Radial Velocity,7,HD 75784 b,5,040,69
Radial Velocity,7,HD 75898 b,418,81
Radial Velocity,7,HD 76700 b,4,60
Radial Velocity,7,HD 76920 b,415,185
Radial Velocity,7,HD 77338 b,6,41
Radial Velocity,7,HD 79498 b,1,966,49
Radial Velocity,7,HD 80606 b,111,29
Radial Velocity,7,HD 81040 b,1,002,33
Radial Velocity,7,HD 81688 b,184,88
Radial Velocity,7,HD 82886 b,705,112
Radial Velocity,7,HD 82943 b,441,27
Radial Velocity,7,HD 82943 c,220,27
Radial Velocity,7,HD 83443 b,3,44
Radial Velocity,7,HD 85390 b,788,34
Radial Velocity,7,HD 85512 b,58,11
Radial Velocity,7,HD 86081 b,2,91
Radial Velocity,7,HD 86226 b,1,695,42
